刺梨,"[21.1, 21.18, 22.67, 21.72, 19.14, 19.39, 18.25, 17.23, 16.89, 17.12, 17.91, 18.98, 22.69, 23.84, 21.23, 18.28, 15.81, 16.54, 16.54, 17.73, 18.54, 19.74, 21.47, 23.72, 22.01, 20.3, 20.3, 18.35, 26.88, 20.66, 18.36]"
柑桔,"[2.4, 2.4, 2.4, 1.51, 1.43, 1.58, 1.89, 2.69, 1.53, 6.75, 1.39, 6.75, 1.28, 1.28, 3.73, 2.54, 2.54, 2.54, 1.4, 1.45, 1.45, 1.45, 1.45, 1.45, 1.45, 1.45, 6.75, 1.45, 1.45, 1.45, 1.45]"
地稔,"[15.3, 15.3, 15.3, 15.3, 12.6, 12.6, 12.6, 15.3, 15.3, 15.3, 12.6, 12.6, 12.6, 12.6, 15.3, 15.3, 15.3, 15.3, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 12.6, 15.3]"
八月瓜,"[15.61, 15.39, 15.25, 15.38, 15.24, 15.3, 16.03, 15.41, 16.06, 15.62, 15.04, 15.35, 15.46, 15.52, 17.29, 16.98, 17.22, 17.18, 14.57, 14.68, 14.41, 13.98, 14.1, 13.97, 14.27, 14.09, 13.54, 13.49, 11.53, 13.02, 13.12]"
羊奶果,"[31.24, 32.05, 32.05, 37.8, 37.8, 31.14, 31.14, 31.14, 30.12, 37.05, 35.24, 37.8, 34.53, 32.62, 25.3, 25.75, 24.9, 31.67, 31.25, 26, 26, 26, 24.17, 27.5, 27.5, 27.5, 28, 28, 20, 28, 27.5]"
橙子,"[12, 12, 12, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 1.2, 1.3, 1.2, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 2.78, 12, 12, 12, 12, 12, 12]"
白刺果,"[17, 12.46, 12.46, 12.46, 12.46, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
酸角,"[23.67, 22.75, 23.2, 23.2, 20.82, 20.98, 20.98, 20.98, 24, 23.63, 19.61, 19.61, 20.57, 20.68, 20.68, 20.68, 19.73, 19.73, 19.73, 19.73, 19.98, 19.98, 16.66, 16.66, 16.66, 16.66, 20.98, 20, 23.33, 20, 20]"
黑莓,"[6.76, 7.08, 7.08, 8.55, 9.72, 9.72, 7.48, 7.48, 6.46, 6.46, 6.46, 6.46, 7.61, 7.14, 7.14, 8.41, 8.41, 14.19, 14.19, 14.19, 14.19, 15.08, 6.55, 6.5, 4.52, 4.53, 5.06, 5.13, 7.6, 6.56, 8.8]"
树莓果,"[28.55, 30.69, 27.58, 21.03, 10.75, 21.12, 23.24, 28.92, 22.05, 21.74, 21.61, 22.98, 24.27, 22.88, 23.03, 23.28, 23.12, 17.6, 23.75, 25.63, 25.63, 25.68, 18.6, 18.52, 20.96, 28.01, 27.69, 26.3, 32.7, 18.8, 24.39]"
