dsrDeliver,dsrDeliverGap,dsrDescribe,dsrDescribeGap,dsrService,dsrServiceGap,imgUrl,ismall,itemId,loc,price,promoPrice,redkeys,sellCount,sellerPayPostfee,spGoldMedal,title,wangwangId
4.9,50.10,4.7,-1.41,4.8,37.58,https://img.alicdn.com/imgextra/i3/122470261/O1CN01eckSZa1DnZy8Eakjn_!!0-saturn_solar.jpg,0,611532586130,山东 烟台,128.00,,['榴莲'],1,false,0,马来西亚进口榴莲树熟新鲜冰冻榴莲果肉25,那妞妞是谁
4.7,-0.73,4.8,0,4.7,-1.14,https://img.alicdn.com/imgextra/i2/58922080/O1CN01tZVRYe1REgNZ5WBH1_!!0-saturn_solar.jpg,1,604488038423,广东 深圳,32.80,16.90,['榴莲'],17,false,0,百草味冻干榴莲干30g金枕头水果干蜜饯休,鼎贞食品专营店
4.9,55.19,4.6,-3.17,4.8,0,https://img.alicdn.com/imgextra/i1/117955627/O1CN013yBbZv1rRDGkuBJwH_!!0-saturn_solar.jpg,0,621311051603,广东 广州,69.80,,['榴莲'],0,true,0,泰国金枕头榴莲肉新鲜速有核榴莲肉进口水果,gfy在路上
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i4/1161660086/O1CN01jixCUs1CVQfUf5PdA_!!0-saturn_solar.jpg,0,621326075111,山西 运城,98.36,,['榴莲'],0,true,,泰国金枕头榴莲新鲜10斤热带应季水果一整箱,仙果吧
4.7,-2.13,4.5,-5.05,4.6,-4.58,https://img.alicdn.com/imgextra/i1/1184540145/O1CN010oj7nb1CwS2GSSinv_!!0-saturn_solar.jpg,0,620607370922,广东 深圳,88.40,,['榴莲'],0,true,0,榴莲肉冷冻无核250g泰国新鲜金枕头果肉冰冻,舌尖的仙味
4.3,-9.94,3.7,-20.81,4.1,-13.41,https://img.alicdn.com/imgextra/i3/44226356/O1CN01TSyaqF1wp606wlS38_!!0-saturn_solar.jpg,0,620816570864,广西 南宁,68.00,,['榴莲'],0,true,0,泰国进口榴莲新鲜金枕头整箱巴掌水果带壳一,小曦衣柜
4.3,-9.20,3.9,-16.65,4.2,-12.55,https://img.alicdn.com/imgextra/i4/41397088/O1CN01j5s6nl22ELv5jfjeW_!!0-saturn_solar.jpg,0,619447528996,云南 昆明,91.60,54.96,['榴莲'],0,true,0,泰国金枕头榴莲新鲜带壳当季水果进口包邮2-,随缘16587
4.3,-9.94,3.7,-20.81,4.1,-13.41,https://img.alicdn.com/imgextra/i1/44226356/O1CN01qyRNFy1wp6081aWVi_!!0-saturn_solar.jpg,0,620176397805,浙江 杭州,88.80,,['榴莲'],0,true,0,泰国金枕头榴莲 新鲜带壳水果现摘特产包邮3,小曦衣柜
4.4,-8.28,3.9,-17.29,4.2,-12.30,https://img.alicdn.com/imgextra/i1/1161660086/O1CN01FoBzug1CVQfWgSe8G_!!0-saturn_solar.jpg,0,621059234063,中国,59.80,,['榴莲'],0,false,0,泰国金枕头榴莲新鲜水果5-10斤野生巴掌留连,仙果吧
4.3,-9.32,4.0,-16.02,4.2,-11.86,https://img.alicdn.com/imgextra/i2/110494879/O1CN01qeNyt31lud0pFDq9H_!!0-saturn_solar.jpg,0,620833437519,云南 昆明,99.24,59.54,['榴莲'],0,true,0,泰国金枕头榴莲新鲜带壳当季水果进口包邮2-,农家小哥518
4.9,55.19,4.6,-3.17,4.8,0,https://img.alicdn.com/imgextra/i3/117955627/O1CN01w2LfX81rRDGnhzxGb_!!0-saturn_solar.jpg,0,620444596254,广东 广州,58.00,,['榴莲'],0,true,0,榴摩王鲜特a级泰国熟榴莲肉进口新榴莲速冰,gfy在路上
4.6,-4.84,4.3,-9.62,4.4,-7.89,https://img.alicdn.com/imgextra/i4/45557557/O1CN01GvrcA925h9fy01vmn_!!0-saturn_solar.jpg,0,621112863487,浙江 杭州,88.80,,['榴莲'],0,true,0,泰国金枕头榴莲 新鲜带壳水果现摘特产包邮3,小q衣柜
4.2,-12.59,3.8,-19.13,3.9,-18.84,https://img.alicdn.com/imgextra/i1/26922872/O1CN01I7pykD1X5Q6fS7Zux_!!0-saturn_solar.jpg,0,619868016575,广东 深圳,87.51,,['榴莲'],0,true,0,榴莲肉冷冻无核250g泰国新鲜金枕头果肉冰冻,俏佳人服饰518
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i2/129036280/O1CN01R3Kdaw1wGHtmkonhB_!!0-saturn_solar.jpg,0,620468358825,广西 防城港,79.00,,['榴莲'],0,true,0,泰国金枕头榴莲干尧新鲜带壳水果现摘特产包,儒家之乡
4.3,-9.32,4.0,-16.02,4.2,-11.86,https://img.alicdn.com/imgextra/i3/110494879/O1CN01836cBf1lud0o4ryhA_!!0-saturn_solar.jpg,0,620709545461,云南 昆明,93.60,56.16,['榴莲'],0,true,0,进口泰国榴莲 金枕榴莲带壳新鲜水果 巴掌小,农家小哥518
4.1,-15.26,3.5,-25.41,3.9,-18.61,https://img.alicdn.com/imgextra/i3/129036280/O1CN01w1USgQ1wGHtl0JBbz_!!0-saturn_solar.jpg,0,619898028903,广西 防城港,79.00,,['榴莲'],0,true,0,泰国金枕头榴莲新鲜冷冻榴莲肉速冻无核1kg,儒家之乡
4.8,-0.75,4.6,-2.75,4.6,-3.58,https://img.alicdn.com/imgextra/i2/115433137/O1CN01qSy5561Z2n47ciPCy_!!0-saturn_solar.jpg,0,620079401665,广东 深圳,74.20,51.94,['榴莲'],0,true,0,泰国金枕头榴莲新鲜冷冻榴莲肉速冻无核300g,兰花158698
4.5,-5.69,4.2,-11.50,4.4,-7.94,https://img.alicdn.com/imgextra/i1/479420062/O1CN01VVNwD71CKRACQ0hsM_!!0-saturn_solar.jpg,0,621160347271,广西 防城港,79.00,,['榴莲'],0,true,0,泰国金枕头榴莲新鲜冷冻榴莲肉速冻无核1kg,蔬果联盟888
4.6,-4.84,4.3,-9.62,4.4,-7.89,https://img.alicdn.com/imgextra/i2/45557557/O1CN01JMWLfZ25h9fs6oTAn_!!0-saturn_solar.jpg,0,621113127188,浙江 杭州,112.00,,['榴莲'],0,true,0,泰国新鲜冷冻金枕头榴莲肉无核冰冻6斤树熟3,小q衣柜
4.8,31.35,4.8,39.34,4.8,38.44,https://img.alicdn.com/imgextra/i4/110530228/O1CN01aBaG2l1DYSu4PZv5s_!!0-saturn_solar.jpg,0,616984624675,广东 广州,29.00,,['榴莲'],0,true,1,泰国进口榴的华金枕头榴莲干30g/袋 果,帅到没人要0
4.6,-4.22,4.6,-3.30,4.6,-4.13,https://img.alicdn.com/imgextra/i2/1216440186/O1CN012738dB1DFEGvEki3l_!!0-saturn_solar.jpg,0,619102446156,湖北 荆门,34.98,17.49,['榴莲'],0,true,0,榴莲酥蛋卷 夹心酥巧克力夹心 酥 零食 榴莲,tb167509185
4.9,40.32,4.8,36.25,4.9,40.11,https://img.alicdn.com/imgextra/i4/99339947/O1CN01zm3Kkd2NLmEgaaTGV_!!0-saturn_solar.jpg,0,565134709315,广东 广州,62.80,56.80,['榴莲'],16,true,0,泰国榴莲干 大颗果肉 原装进口金枕头果干,周围郁
4.8,5.91,4.8,26.90,4.8,8.44,https://img.alicdn.com/imgextra/i2/403700200/O1CN01gM0SeL1DLdocmF8UK_!!0-saturn_solar.jpg,0,619703447516,浙江 杭州,117.60,56.45,['榴莲'],1,true,0,泰国进口金枕榴莲优质大果当季新鲜水果一整,巧克力商贸1
4.5,-4.99,4.4,-6.72,4.5,-6.50,https://img.alicdn.com/imgextra/i1/391190160/O1CN01gPTkmK1D3JyXJu3OK_!!0-saturn_solar.jpg,0,619598869658,浙江 金华,178.00,87.22,['榴莲'],0,true,0,坏果包赔收到后催熟食用泰国进口榴莲3-10斤,清伟小面馆电子商务
5.0,100.00,5.0,100.00,5.0,100.00,https://img.alicdn.com/imgextra/i3/1214100106/O1CN01nKc1Z81CeaaWtI8UP_!!0-saturn_solar.jpg,0,620296851948,安徽 合肥,19.72,8.87,['榴莲'],0,true,0,冻干泰国榴莲干榴莲酥榴莲脆休闲零食果脯水,欢欢食品屋
4.8,-0.75,4.6,-2.75,4.6,-3.58,https://img.alicdn.com/imgextra/i1/115433137/O1CN01beeZqa1Z2n43SomU9_!!0-saturn_solar.jpg,0,620080121404,广东 深圳,102.20,71.54,['榴莲'],0,true,0,榴莲 泰国金枕新鲜冷冻榴莲肉 有核 一斤 两,兰花158698
4.3,-9.55,4.1,-13.09,4.1,-13.83,https://img.alicdn.com/imgextra/i4/119600357/O1CN01LT7SGz1EVY01cjWnX_!!0-saturn_solar.jpg,0,619720580203,河南 郑州,103.20,75.34,['榴莲'],0,true,0,泰国金枕新鲜冷冻榴莲肉 有核 一斤 两斤特,郑州三福商贸
0.0,0,0.0,0,0.0,0,https://img.alicdn.com/imgextra/i2/127373456/O1CN01eG7VcK1bOtPQP0Umj_!!0-saturn_solar.jpg,0,620552477679,广东 广州,163.16,97.90,['榴莲'],0,true,0,当季新鲜水果泰国金枕头榴莲特产巴掌榴莲带,大大的661
4.8,32.02,4.7,0,4.8,14.45,https://img.alicdn.com/imgextra/i1/45142043/O1CN01N9HfKH1Qxjlc0jgaI_!!0-saturn_solar.jpg,0,619316371987,泰国,118.00,59.00,['榴莲'],841,true,1,泰国金枕头榴莲干 无干燥剂100g实惠装,a413313738
4.7,-1.25,4.5,-5.52,4.6,-3.30,https://img.alicdn.com/imgextra/i4/737780127/O1CN01n8VA6f1CoCtJFH0VR_!!0-saturn_solar.jpg,0,609481942322,山东 烟台,135.00,,['榴莲'],1,true,0,顺丰空运包邮马来西亚树上熟榴莲果肉250,hms642975
4.7,-0.88,4.7,-0.82,4.7,-1.00,https://img.alicdn.com/imgextra/i2/45117295/O1CN01f1eQ2R23l9sw8vz54_!!0-saturn_solar.jpg,0,613069867787,浙江 杭州,128.00,126.00,['榴莲'],4,true,0,泰国进口金枕头榴莲冷冻榴莲肉速冻榴莲新鲜,佳明调味品商行
5.0,100.00,4.9,89.05,5.0,100.00,https://img.alicdn.com/imgextra/i3/1112640063/O1CN0143ADYu1CKtYjGYNJ9_!!0-saturn_solar.jpg,0,617942895103,广东 广州,188.00,168.00,['榴莲'],93,true,0,世界上只有两种榴莲 猫山王榴莲和其他榴莲,henrytsk
